serial,dataset_name,method,model_name_extractor,extractor_layer,n_cluster_ratio,acc_max,lr_acc_max,acc_mean,abs_dif_acc_mean,rel_dif_acc_mean,acc_std,abs_dif_acc_std,rel_dif_acc_std,ada_ratio,abs_dif_ada,rel_dif_ada,cva,abs_dif_cva,rel_dif_cva
32,cars,hideit3_base_patch16_224.fb_in1k,,,,91.97,0.01,78.04,0.0,0.0,27.9983,0.0,0.0,35.876810154424184,0.0,0.0,-83.63601983199364,0.0,0.0
32,cars,hideit3_base_patch16_224.fb_in22k_ft_in1k,,,,90.56,0.01,73.591,0.0,0.0,30.9624,0.0,0.0,42.073671814597446,0.0,0.0,-92.46657075709524,0.0,0.0
32,cars,hideit_base_patch16_224.fb_in1k,,,,92.04,0.03,80.43,0.0,0.0,24.033,0.0,0.0,29.880686384667182,0.0,0.0,-71.80030131371679,0.0,0.0
32,cars,hiresnet50.a1_in1k,,,,92.65,0.0005,90.5811,0.0,0.0,1.9044,0.0,0.0,2.102380662742034,0.0,0.0,-5.692055485663208,0.0,0.0
32,cars,hiresnet50.fb_ssl_yfcc100m_ft_in1k,,,,93.58,0.01,89.402,0.0,0.0,5.0444,0.0,0.0,5.642406685337768,0.0,0.0,-15.076849207623638,0.0,0.0
32,cars,hiresnet50.fb_swsl_ig1b_ft_in1k,,,,93.69,0.01,89.094,0.0,0.0,6.6905,0.0,0.0,7.509481827431146,0.0,0.0,-19.996398399720203,0.0,0.0
32,cars,hiresnet50.gluon_in1k,,,,93.27,0.03,90.793,0.0,0.0,2.7517,0.0,0.0,3.030738787448574,0.0,0.0,-8.224788613990066,0.0,0.0
32,cars_baseline,hiresnet50.in1k_mocov3,,,,93.6824,0.0001,92.6216,0.0,0.0,0.6829,0.0,0.0,0.7373337995617737,0.0,0.0,-2.041417085888686,0.0,0.0
32,cars_baseline,hiresnet50.in1k_spark,,,,91.8418,0.01,87.3896,0.0,0.0,4.674,0.0,0.0,5.348403742265812,0.0,0.0,-13.96836668639408,0.0,0.0
32,cars_baseline,hiresnet50.in1k_supcon,,,,94.1798,0.03,91.2983,0.0,0.0,4.1116,0.0,0.0,4.503430996720563,0.0,0.0,-12.28963756815748,0.0,0.0
32,cars_baseline,hiresnet50.in1k_swav,,,,93.6326,0.0001,92.5333,0.0,0.0,0.6656,0.0,0.0,0.7193002354165862,0.0,0.0,-1.98958308449183,0.0,0.0
32,cars_baseline,hiresnet50.in21k_miil,,,,93.558,0.0001,92.3753,0.0,0.0,0.6278,0.0,0.0,0.6796578618201455,0.0,0.0,-1.8767117956663504,0.0,0.0
32,cars,hiresnet50.tv2_in1k,,,,93.0,0.0001,91.42,0.0,0.0,1.346,0.0,0.0,1.4723325736334525,0.0,0.0,-4.023295990710771,0.0,0.0
32,cars,hiresnet50.tv_in1k,,,,93.79,0.01,91.49,0.0,0.0,2.8561,0.0,0.0,3.1218052090478787,0.0,0.0,-8.537200705183233,0.0,0.0
32,cars_baseline,hivit_base_patch16_224.dino,,,,88.8322,5e-06,52.8006,0.0,0.0,39.4507,0.0,0.0,74.71629587421003,0.0,0.0,-117.60488425888738,0.0,0.0
32,cars_baseline,hivit_base_patch16_224.in1k_mocov3,,,,92.3393,0.01,74.9372,0.0,0.0,32.4598,0.0,0.0,43.31597424742917,0.0,0.0,-96.94618801355148,0.0,0.0
32,cars,hivit_base_patch16_224.mae,,,,88.25,0.01,68.725,0.0,0.0,33.8789,0.0,0.0,49.29626655477064,0.0,0.0,-101.14361490375066,0.0,0.0
32,cars,hivit_base_patch16_224.orig_in21k,,,,90.95,0.03,71.986,0.0,0.0,31.8914,0.0,0.0,44.30219274977695,0.0,0.0,-95.23110749106556,0.0,0.0
32,cars,hivit_base_patch16_224_miil.in21k,,,,89.35,0.01,70.223,0.0,0.0,28.4838,0.0,0.0,40.56186429582498,0.0,0.0,-85.04565525041329,0.0,0.0
32,cars,hivit_base_patch16_clip_224.laion2b,,,,91.64,5e-06,53.36,0.0,0.0,38.6721,0.0,0.0,72.4739173679257,0.0,0.0,-115.2915077488962,0.0,0.0
32,cars_baseline,hivit_base_patch16_siglip_224.v2_webli,,,,95.5229,0.003,66.4796,0.0,0.0,32.7879,0.0,0.0,49.32016751298124,0.0,0.0,-97.87036706581264,0.0,0.0
23,cars,hideit3_base_patch16_224.fb_in1k,,,,93.0357,0.01,85.1138,7.073799999999991,9.06432598667349,16.9602,-11.0381,-39.42417932517331,19.92654477301384,-15.950265381410343,-44.45842680203669,-50.68144630512863,32.954573526865005,-39.40236944926779
23,cars,hideit3_base_patch16_224.fb_in22k_ft_in1k,,,,93.4461,0.03,85.2395,11.648500000000013,15.828701879305912,17.0715,-13.890899999999998,-44.86377025036819,20.02771908538173,-22.045952729215717,-52.398451997162944,-51.01432566621714,41.4522450908781,-44.829439170801464
23,cars,hideit_base_patch16_224.fb_in1k,,,,93.3466,0.03,86.6462,6.216199999999986,7.728708193460134,13.2024,-10.8306,-45.065534889526894,15.237107554325046,-14.643578830342136,-49.006835525224965,-39.45475806069937,32.34554325301742,-45.049314085313036
23,cars,hiresnet50.a1_in1k,,,,93.1227,0.0001,91.664,1.082899999999995,1.1955032561980314,1.4628,-0.4416,-23.188405797101446,1.595795563553122,-0.5065850991889118,-24.09578380197796,-4.372350265535794,1.319705220127414,-23.185037873425596
23,cars,hiresnet50.fb_ssl_yfcc100m_ft_in1k,,,,94.4161,0.03,92.1465,2.744500000000002,3.069841837990204,2.3127,-2.7317000000000005,-54.15312029180875,2.5097741860702967,-3.1326324992674714,-55.51943831712557,-6.912910222173351,8.163938985450287,-54.148840205433466
23,cars,hiresnet50.fb_swsl_ig1b_ft_in1k,,,,94.3788,0.03,91.0285,1.9344999999999999,2.171302220127057,4.4744,-2.2161,-33.123084971227854,4.915430441313748,-2.594051386117398,-34.54368018631686,-13.37416906951332,6.622229330206883,-33.11711038073508
23,cars,hiresnet50.gluon_in1k,,,,94.2793,0.03,92.2149,1.4218999999999937,1.5660898967982042,2.3182,-0.4335,-15.753897590580369,2.513915849310473,-0.5168229381381009,-17.052704782030656,-6.9294742927347945,1.2953143212552716,-15.748907139716502
23,cars,hiresnet50.in1k_mocov3,,,,93.8565,5e-05,93.1078,0.48619999999999663,0.5249315494441865,0.4559,-0.22699999999999992,-33.24059159466978,0.4896036559212906,-0.24773014364048307,-33.598099502249696,-1.3626818354466308,0.6787352504420552,-33.248239917938314
23,cars,hiresnet50.in1k_spark,,,,92.6129,0.01,88.7402,1.3506,1.5454928275218103,4.6442,-0.029800000000000715,-0.637569533590088,5.233443091312197,-0.11496065095361452,-2.1494385333167143,-13.88017230750261,0.08819437889147075,-0.6313864811222109
23,cars,hiresnet50.in1k_supcon,,,,94.6648,0.03,92.3828,1.0845000000000056,1.1878643961607231,2.5223,-1.5893000000000002,-38.654051950578854,2.7302923376937263,-1.7731386590268365,-39.37306156834759,-7.539657786776121,4.7499797813813585,-38.65028366408936
